gene,protein,reaction,model
G_ABAYE_RS15295,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR1,iCN718
G_ABAYE_RS07615,P_ABAYE_RS07615,R_PSUDS,iCN718
G_ABAYE_RS08225,P_ABAYE_RS08225,R_UMPK,iCN718
G_ABAYE_RS10535,P_ABAYE_RS10535,R_UMPK,iCN718
G_ABAYE_RS07455,P_ABAYE_RS07455,R_HACD9,iCN718
G_ABAYE_RS12385,P_ABAYE_RS12385,R_HACD9,iCN718
G_ABAYE_RS17245,P_ABAYE_RS17245,R_HACD9,iCN718
G_ABAYE_RS15080,P_ABAYE_RS15080,R_DCTPD2,iCN718
G_ABAYE_RS14580,P_ABAYE_RS14580,R_DUTPDP,iCN718
G_ABAYE_RS15855,P_ABAYE_RS15855,R_DUTPDP,iCN718
G_ABAYE_RS15730,P_ABAYE_RS15730,R_PPPPH,iCN718
